Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
CMM,Direction Générale de la Douane (DGD),Droit de douane,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
CMM,Direction des Grandes Entreprises (DGE),Contribution forfaitaire à la charge de l’employeur,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
CMM,Direction des Grandes Entreprises (DGE),Impôt sur les sociétés,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
CMM,Direction des Grandes Entreprises (DGE),Patentes (DGE),No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
CMM,Direction des Grandes Entreprises (DGE),Taxe de formation professionnelle,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
CMM,Direction des Grandes Entreprises (DGE),Taxe de logement,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
CMM,Direction des Grandes Entreprises (DGE),Taxe emploi jeune,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
DIAMOND CEMENT,Direction Générale de la Douane (DGD),Droit de douane,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
DIAMOND CEMENT,Direction des Grandes Entreprises (DGE),Contribution forfaitaire à la charge de l’employeur,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
DIAMOND CEMENT,Direction des Grandes Entreprises (DGE),Taxe de formation professionnelle,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
DIAMOND CEMENT,Direction des Grandes Entreprises (DGE),Taxe de logement,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
DIAMOND CEMENT,Direction des Grandes Entreprises (DGE),Taxe emploi jeune,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
DIAMOND CEMENT,Direction des Grandes Entreprises (DGE),Taxe sur la Valeur Ajoutée (TVA),No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Direction Générale de la Douane (DGD),Droit de douane,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Direction des Grandes Entreprises (DGE),Contribution forfaitaire à la charge de l’employeur,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Direction des Grandes Entreprises (DGE),Impôt sur le Revenu des Valeurs Mobilières (IRVM),No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Direction des Grandes Entreprises (DGE),Impôt sur les sociétés,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Direction des Grandes Entreprises (DGE),Taxe de formation professionnelle,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Direction des Grandes Entreprises (DGE),Taxe de logement,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Direction des Grandes Entreprises (DGE),Taxe emploi jeune,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
EMM,Direction des Grandes Entreprises (DGE),Taxe sur la Valeur Ajoutée (TVA),No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction Générale de la Douane (DGD),Droit de douane,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction Nationale des Domaines et du Cadastre (DNDC),Taxe ad valorem,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Contribution forfaitaire à la charge de l’employeur,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Droit de Timbre,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Impôt spécial sur certains produits (ISCP),No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Impôt sur les sociétés,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Patentes (DGE),No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Retenues BIC,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Taxe de formation professionnelle,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Taxe de logement,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Taxe emploi jeune,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
FEKOLA,Direction des Grandes Entreprises (DGE),Taxe sur la Valeur Ajoutée (TVA),No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
GOUNKOTO,Direction Générale de la Douane (DGD),Droit de douane,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
GOUNKOTO,Direction Nationale des Domaines et du Cadastre (DNDC),Dividendes,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
GOUNKOTO,Direction Nationale des Domaines et du Cadastre (DNDC),Redevances superficiaires DNDC,No,No,,XOF,,No,,,,Mali,MLI,2017,1/1/2017,12/31/2017
